  ars  |                gen                |                                    st_extent                                     
 03155 | Northeim                          | BOX(9.417317501499637 51.55207694635005,10.162046912578848 51.947798652064286)
 09564 | Nürnberg                          | BOX(10.987927983367976 49.33193736548466,11.28013337449406 49.5403334403064)
 09574 | Nürnberger Land                   | BOX(11.128308923011522 49.302221059259736,11.601550345607611 49.71507236326628)
 09780 | Oberallgäu                        | BOX(9.958324294923933 47.27012360470945,10.511613351441238 47.86363962610397)
 05374 | Oberbergischer Kreis              | BOX(7.252578064197369 50.8186222839175,7.792022809416213 51.25031506992746)
 05119 | Oberhausen                        | BOX(6.777073120668455 51.448913918180274,6.930682076528781 51.579648229458144)
 12065 | Oberhavel                         | BOX(12.825030572725932 52.58674246221023,13.520947632526083 53.25111397867593)
 12066 | Oberspreewald-Lausitz             | BOX(13.634136634230371 51.35902035179621,14.217466864208726 51.903106200609834)
 06437 | Odenwaldkreis                     | BOX(8.784447721557227 49.47063680749881,9.150809170042235 49.85571239390138)
 12067 | Oder-Spree                        | BOX(13.666980239479987 51.999875532084815,14.759100960172638 52.502764288749816)
 06438 | Offenbach                         | BOX(8.590890435834394 49.947317973614204,9.048820260170018 50.133509587942086)
 06413 | Offenbach am Main                 | BOX(8.717834173113753 50.04695628807226,8.843302966849885 50.13730174789012)
 03458 | Oldenburg                         | BOX(8.050830267448276 52.797884977889154,8.69402693583969 53.172148887857645)
 03403 | Oldenburg (Oldb)                  | BOX(8.128036123363099 53.08234897340441,8.312263982763294 53.20515659564362)
 05966 | Olpe                              | BOX(7.701628277932333 50.92464006566762,8.245912790939107 51.248206559266855)
 08317 | Ortenaukreis                      | BOX(7.680713204637375 48.158224193540704,8.33047393516373 48.71858108155758)
 03404 | Osnabrück                         | BOX(7.93016303965859 52.22054918548423,8.180514163277742 52.33876595049798)
 03459 | Osnabrück                         | BOX(7.60397103206272 52.035510015698065,8.517437324295384 52.709339206912986)
 08136 | Ostalbkreis                       | BOX(9.619061777041694 48.714651517175405,10.457107387714885 49.06086347234387)
 09777 | Ostallgäu                         | BOX(10.326035148703443 47.513938538129345,10.952785696837772 48.11145112471781)
 03356 | Osterholz                         | BOX(8.48073469326699 53.125076364495705,9.071452822421099 53.39572169262681)
 01055 | Ostholstein                       | BOX(10.417470905709864 53.87955583931647,11.312892395727449 54.53610685124689)
